#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_2175_length_1617_cov_1.085639_1 -            286 OB_NTP_bind          PF07717.11   114   3.1e-13   46.3   0.1   1   1   3.4e-16   5.3e-13   45.6   0.1    13   107   195   277    92   281 0.88 # 3 # 860 # 1 # ID=299_1;partial=10;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.393
NODE_615_length_6523_cov_10.860990_3 -            820 Ribosomal_L16        PF00252.13   133   1.2e-05   21.9   0.6   1   3     0.013        20    1.7   0.1    27    63   356   393   337   429 0.80 # 3170 # 5629 # -1 # ID=66_3;partial=00;start_type=ATG;rbs_motif=CCCCTG;rbs_spacer=6bp;gc_cont=0.336
NODE_615_length_6523_cov_10.860990_3 -            820 Ribosomal_L16        PF00252.13   133   1.2e-05   21.9   0.6   2   3   0.00045      0.71    6.4   0.0    19    59   451   492   433   518 0.83 # 3170 # 5629 # -1 # ID=66_3;partial=00;start_type=ATG;rbs_motif=CCCCTG;rbs_spacer=6bp;gc_cont=0.336
NODE_615_length_6523_cov_10.860990_3 -            820 Ribosomal_L16        PF00252.13   133   1.2e-05   21.9   0.6   3   3    0.0001      0.16    8.5   0.0    17    55   607   646   594   651 0.84 # 3170 # 5629 # -1 # ID=66_3;partial=00;start_type=ATG;rbs_motif=CCCCTG;rbs_spacer=6bp;gc_cont=0.336
NODE_723_length_5665_cov_11.179091_5  -            158 RNase_PH             PF01138.16   132   9.4e-13   45.4   0.1   1   1   3.2e-15   1.2e-12   45.0   0.1     1   114    26   156    26   157 0.78 # 4705 # 5178 # 1 # ID=82_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.373
NODE_272_length_11894_cov_15.713353_5 -            135 RNase_PH             PF01138.16   132   3.4e-05   21.0   0.2   1   1   1.1e-07   4.2e-05   20.7   0.2     1    93    23   125    23   132 0.74 # 4911 # 5315 # 1 # ID=22_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.353
NODE_725_length_5632_cov_23.159046_3  -            121 RNase_PH             PF01138.16   132   0.00014   19.0   0.1   1   1   4.5e-07   0.00018   18.6   0.1     1    77    26   108    16   118 0.74 # 2271 # 2633 # -1 # ID=84_3;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.361
NODE_186_length_15589_cov_29.364364_5 -             88 RNase_PH             PF01138.16   132    0.0062   13.6   0.0   1   1   1.9e-05    0.0076   13.4   0.0     1    41    26    74    13    86 0.85 # 3972 # 4235 # -1 # ID=12_5;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.360
#
# Program:         hmmsearch
# Version:         3.3.2 (Nov 2020)
# Pipeline mode:   SEARCH
# Query file:      /tmp/b1580f1b-0c20-41c3-b40f-89e085f66018
# Target file:     checkm_maxbin_results/bins/TB2_SN3.003/genes.faa
# Option settings: hmmsearch --domtblout checkm_maxbin_results/bins/TB2_SN3.003/hmmer.analyze.txt --noali --notextw -E 0.1 --domE 0.1 --cpu 2 /tmp/b1580f1b-0c20-41c3-b40f-89e085f66018 checkm_maxbin_results/bins/TB2_SN3.003/genes.faa 
# Current dir:     /home/team_218/metagenomics/ht2
# Date:            Thu Dec 19 18:01:17 2024
# [ok]
